feature,mean_abs_shap
tag_count,1.1883
has_tags,0.3905533
publisher_historical_success,0.3536861
release_year,0.22451232
achievements,0.20507681
price,0.1671968
cat_steam_cloud,0.15598072
developer_historical_success,0.15265574
cat_steam_trading_cards,0.15255821
language_count,0.14285746
platform_count,0.0909391
cat_family_sharing,0.08631392
genre_action,0.07955959
tag_story_rich,0.07837442
developer_game_count,0.07254945
description_length,0.056906417
genre_count,0.05641779
tag_cute,0.04881963
price_tier,0.048182033
category_count,0.045605194
has_achievements,0.04539558
tag_pixel_graphics,0.044963285
tag_indie,0.043014802
tag_3d,0.042868074
tag_action,0.038712006
genre_strategy,0.035488956
release_month,0.034562394
genre_free_to_play,0.033375554
tag_colorful,0.03266124
tag_first_person,0.032421913
tag_multiplayer,0.030324595
tag_strategy,0.030267153
tag_atmospheric,0.02861175
genre_simulation,0.026360344
release_day_of_week,0.025336832
genre_early_access,0.024095807
tag_singleplayer,0.021084154
has_website,0.019964924
tag_exploration,0.018846119
cat_full_controller_support,0.018335965
audio_language_count,0.01800385
cat_multi_player,0.017810076
tag_adventure,0.017807188
tag_2d,0.016774636
genre_casual,0.016566804
tag_simulation,0.015789028
genre_massively_multiplayer,0.0149587225
tag_puzzle,0.013268647
tag_shooter,0.012937756
cat_steam_achievements,0.012144495
genre_adventure,0.009305839
cat_pvp,0.008857777
cat_co_op,0.008665625
genre_indie,0.008630686
tag_rpg,0.00857211
genre_rpg,0.008470496
tag_casual,0.0077244793
release_quarter,0.0071984916
cat_steam_leaderboards,0.0055608046
cat_single_player,0.0053777425
is_free,0.005055795
cat_partial_controller_support,0.004700724
cat_online_pvp,0.004399203
released_in_sale_month,0.004308732
genre_racing,0.0038877293
required_age,0.0034606857
has_categories,0.002578903
genre_sports,0.0022513838
genre_utilities,0.0013013757
genre_design_&_illustration,0.0011269
genre_violent,0.00088760204
has_genres,0.00028433723
